OBJECTID,Código del establecimiento,Nombre de la sede,Orden de la sede,Sector,Tipo de administración,Naturaleza jurídica,Dirección,Número telefónico,Número de fax,Correo electrónico,Página WEB,Calendario,Jornada,Nivel de atención,Tipo de discapacidad atendida,Tipo de talento especial,Grupo étnico atendido,Situación de conflicto atendida,Categoría por resultado pruebas SABER 11,Nombre Rector,Matriculados,Tasa de deserción escolar (%),Zona,Género,coord_x,coord_y
619,311001107599,COLEGIO RETOS,A,No Oficial,Privado,Sociedad,CL 127 B BIS # 21 - 41,2586461,6261511,contacto@colegioretos.edu.co / academica@colegioretos.edu.co / subacademica@colegioretos.edu.co,www.colegioretos.edu.co,A / B,Mañana / Nocturna,Básica Secundaria / Media,,,,,No Aplica,ELSA CRISTINA ACUÑA DE RODRIGUEZ,897,No Aplica,Urbana,Mixto,"-74,05132850282587","4,709489072933054"
620,311001107289,GIMNASIO ALESSANDRO VOLTA,A,No Oficial,Privado,Corporación,CL 119 # 4 - 79,7438850 / 6298532 / 6290245 / 6570941,7438850,rectoria@gimnasiovolta.edu.co / s-academica@gimnasiovolta.edu.co / admeducativa@gimnasiovolta.edu.co,www.gimnasiovolta.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria",,,,,A+,PATRIZIA MASCIOLI,492,0,Urbana,Mixto,"-74,02796164872454","4,693617987371306"
623,311848004346,COLEGIO SANTA HELENA BAVIERA,A,No Oficial,Privado,Persona Natural,KR 47 # 145 B - 39,2740504 / 2744653,2740741,colegiocshb@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",Cognitiva,,,,No Aplica,AMPARO PEÑA GUTIERREZ,130,"2,34",Urbana,Mixto,"-74,05192525726235","4,729219424487335"
624,311001107483,PREESCOLAR MI PEQUEÑO JARDIN,A,No Oficial,Privado,Persona Natural,CL 128 C BIS # 51 - 18,6252165,,mipequenojardin@gmail.com / vilmamancera@yahoo.es,,A,Mañana,Preescolar,,,,,No Aplica,MARIA CRISTINA MANCERA RINCON,60,"4,16",Urbana,Mixto,"-74,05794456884226","4,7157509577762164"
625,311769000998,COLEGIO COLOMBO HEBREO,A,No Oficial,Privado,Otra,AC 153 # 50 - 65,6711303 / 6711263 / 6711323,6785123 EXT 129,rectoria@cch.edu.co / secacademica@cch.edu.co,www.cch.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Cognitiva / Autismo,,,,A+,JORGE ALBERTO MEJIA GONZALEZ,229,"1,14",Urbana,Mixto,"-74,0531341372082","4,737272891551633"
626,311001092753,GIMNASIO CRISTIANO ADONAI,A,No Oficial,Privado,Persona Natural,KR 72 # 181 - 85,6788797 / 6721499,6721499,gcadonai@hotmail.com / gcristinoadonai@gmail.com / coordinacionadonai2010@gmail.com,www.gcristianoadonai.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Auditiva / Motora / Cognitiva,,,,A+,MARIA ESTHER RAMIREZ VERA,245,0,Urbana,Mixto,"-74,06000893689102","4,7692055914978395"
627,311001041351,COLEGIO INGLATERRA REAL,A,No Oficial,Privado,Sociedad,AC 183 # 67 - 77,6722662 / 6785800,6785800,colinglarealcam@hotmail.com,www.colegioinglaterrareal.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,GUSTAVO MENDEZ HERNANDEZ,165,"3,35",Urbana,Mixto,"-74,05615868212482","4,766791667767956"
630,311769000564,COLEGIO CRISTO REY BOGOTA,A,No Oficial,Privado,Comunidad Religiosa,AC 138 # 58 D - 50,2262432,2537911,contacto@cristoreybogota.edu.co / secretariahcr@gmail.com,www.cristoreybogota.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,CLAUDIA MADRID DE AGUIRRE,734,0,Urbana,Mixto,"-74,06699468929125","4,730389154583328"
631,311769000726,LICEO SEGOVIA,A,No Oficial,Privado,Otra,CL 116 # 72 A - 41,2530750 / 6243875,6179837,informes@liceosegovia.edu.co,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,MANUELA REY CERQUEIRO,1331,"2,02",Urbana,Mixto,"-74,08233866623391","4,701106771821884"
634,311001105481,COLEGIO EL CAMINO ACADEMY,A,No Oficial,Privado,Asociación,CL 222 # 52 - 30,7422330 EXT 132,6761339 EXT 127,elcamino@eca.edu.co / yolandacardozo@eca.edu.co / maria.alejandra.rivas@eca.edu.co,www.eca.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Motora,,,,A+,BETH AFANADOR,292,0,Urbana,Mixto,"-74,0434932109665","4,798350711827595"
636,311001042667,GIMNASIO FONTANA,A,No Oficial,Privado,Sociedad,CL 221 # 108 - 20,7420303 EXT 106,7550150,s.academica@gimnasiofontana.edu.co,www.gimnasiofontana.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Motora,,,,A+,AMPARO TRIANA DE ZULETA,850,0,Urbana,Mixto,"-74,06335521971486","4,803426556196979"
638,311001089647,JARDIN INFANTIL RINCON MADRE ADMIRABLE,A,No Oficial,Privado,Asociación,KR 101 # 131 A - 28,5361002,5361002,erogo13@hotmail.com / jmadreadmirable@gmail.com / jmadreadmirable@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,EVITA C DE RODRIGUEZ,77,0,Urbana,Mixto,"-74,09635762364091","4,733653061977487"
639,311001088047,INSTITUTO COPESAL,A,No Oficial,Privado,Sociedad,CL 131 C # 104 - 29,6975771 / 6975772,6975771,copesal@hotmail.com / copesal@gmail.com,www.institutocopesal.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,CAROLINA ARIZA PRIETO,253,"0,38",Urbana,Mixto,"-74,10057755580779","4,735391027977422"
640,311001065284,LICEO CULTURAL LAS AMERICAS,A,No Oficial,Privado,Persona Natural,KR 110 B # 136 A - 14,6892650 / 5364614,5364614 / 6907403,liceoculturallasamericas@gmail.com / m_jigo@hotmail.com,www.licecoculturallasamercias.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,ISABEL CRISTINA ROA PORRAS,652,0,Urbana,Mixto,"-74,10252347559647","4,741644812335397"
641,311001065152,COLEGIO COLOMBO INTERNACIONAL ACOINPREV,A,No Oficial,Privado,Asociación,CL 129 B # 95 A - 63,6921318 / 5363907,6921318,colegioacoinprev@yahoo.es,www.colegioacoinprev.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria",,,,,A,MARTHA LUCIA ROA QUEVEDO,819,"0,86",Urbana,Mixto,"-74,09512490869564","4,727166878385845"
776,311001109141,JARDIN INFANTIL BURBUJAS DE ALEGRIA,A,No Oficial,Privado,Persona Natural,CL 38 C SUR # 72 M - 62,2650173,,wilmos12@gmail.com,,A,Única,Preescolar,,,,,No Aplica,AMANDA LUCIA GARZON CRUZ,89,0,Urbana,Mixto,"-74,14639346067455","4,612694492908669"
778,311265000385,LICEO INTEGRAL LA GRANJA,A,No Oficial,Privado,Persona Natural,CL 77 # 83 - 52,2516413,,liceolagranja@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,BERENICE GONZALEZ SOTO,136,"1,63",Urbana,Mixto,"-74,10058729624042","4,700057400586795"
780,311001102767,GIMNASIO INFANTIL EL MUNDO DEL SABER,A,No Oficial,Privado,Persona Natural,TV 12 D # 13 - 35 SUR,2786836,,gi.mundodelsaber@gmail.com / cesapez@yahoo.com / mimundodelsaber@yahoo.com.co,,A,Mañana,Preescolar,,,,,No Aplica,GLORIA EVELIA VEGA,13,No Aplica,Urbana,Mixto,"-74,09530946577412","4,583448443234813"
782,311001011877,INSTITUTO CARMENZA DE SANCHEZ,A,No Oficial,Privado,Persona Natural,KR 2 A ESTE # 24 A - 90 SUR,2070265 / 3643905 / 3016883939 / 3175653833,3643905,instcarmenzadesanchez@yahoo.es / institutocarmenzadesanchez@gmail.com,www.institutocarmenzadesanchez.com,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,MARINA SANCHEZ DE VELASQUEZ,130,0,Urbana,Mixto,"-74,08771911035679","4,565669474391005"
784,311001091293,COLEGIO COLOMBO FLORIDA BILINGUE,A,No Oficial,Privado,Sociedad,KR 12 D BIS # 22 - 27 SUR,2391231 / 2399263,3666807,colombofloridabilingualschool@gmail.com,www.colegiocolombofloridabilingue.com,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,MARTHA LUCIA CARVALHO QUIGUA,271,0,Urbana,Mixto,"-74,10034881958363","4,579309509877551"
727,311001096155,LICEO PEDAGOGICO LOS DELFINES,A,No Oficial,Privado,Persona Natural,CL 128 A # 50 A - 19,2745052,2745052,los_delfines@yahoo.es,,A,Mañana,Preescolar,,,,,No Aplica,LUZ DARY AYALA CRISTANCHO,47,0,Urbana,Mixto,"-74,0579556738158","4,713436235572316"
728,311769004195,LICEO SAMANIEGO,A,No Oficial,Privado,Persona Natural,CL 128 # 45 - 48,2162659 / 5200573,2162659,lic_samaniego@yahoo.com,,A,Mañana,"Preescolar, Básica Primaria",Auditiva,,,,No Aplica,HEIDY LILIANA LAISECA URUEA,142,0,Urbana,Mixto,"-74,0537375634323","4,712465082830144"
731,411001094661,LICEO CAMBRIDGE,A,No Oficial,Privado,Persona Natural,KM 7 VIA SUBA - COTA VDA CHORRILLOS,6925188 / 6925762,,janny611@gmail.com / secretariaacademica@liceocambridge.edu.co,www.liceocambridige.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,AMANDA LUCIA ROMERO CASTELLON,307,0,Rural,Mixto,"-74,10658680805314","4,77386873629902"
732,311001045038,COLEGIO EL PARAISO,A,No Oficial,Privado,Persona Natural,CL 59 A BIS SUR # 85 - 26,7844181 / 7759013 / 7844198,,colegioelparaiso1988@hotmail.com / aura-cely@hotmail.com,,A,Completa,Preescolar / Básica Primaria / Básica Secundaria,,,,,No Aplica,LIDUVINA MARIN PINILLA,143,0,Urbana,Mixto,"-74,19424576184876","4,633620737999815"
734,311001109265,COLEGIO AGUSTINIANO TAGASTE,A,No Oficial,Privado,Comunidad Religiosa,KR 88 # 11 A - 21,4193180,4193180 EXT 109,secretaria@agustinianotagaste.edu.co,www.agustinianotagaste.edu.co,A,Única,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,PADRE WILLIAM DARIO HINCAPIE VELASQUEZ,944,0,Urbana,Mixto,"-74,1450398540516","4,6531868498398214"
736,311769000556,COLEGIO SAN PATRICIO,A,No Oficial,Privado,Sociedad,KR 80 # 137 - 02,6838640 / 6815357,6838640 EXT 117,correo@colegiodesanpatricio.edu.co / secretariageneral@colegiodesanpatricio.edu.co,www.colegiodesanpatricio.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,PAULINA ENCINALES DE SANJINES,480,0,Urbana,Femenino,"-74,08142836472895","4,730100738138309"
740,311001019959,COLEGIO JUVENTUD,A,No Oficial,Privado,Persona Natural,KR 18 C # 3 - 18,8015638 / 2332557,,colegio_juventud@hotmail.com,,A,Mañana,Básica Primaria,,,,,No Aplica,MARIA ESTEFANIA SARMIENTO GONZALEZ,17,0,Urbana,Mixto,"-74,09062770343148","4,596808113144034"
746,311001092052,JARDIN INFANTIL PEQUITAS,A,No Oficial,Privado,Persona Natural,CL 27 SUR # 24 G - 58,6953248,,infantilpequitas@yahho.com / boyaca.angela@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,ANGELA ROCIO BOYACA MORENO,50,0,Urbana,Mixto,"-74,11011634809326","4,585328730271772"
747,311001100781,COLEGIO VIÑA DEL MAR,A,No Oficial,Privado,Persona Natural,KR 105 # 67 F - 03,5414615 / 3005425221,,colvimar@yahoo.es,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria",,,,,No Aplica,JUAN DE DIOS CASTRO GARZON,295,0,Urbana,Mixto,"-74,12305646028507","4,699635456207721"
748,311001051631,COLEGIO VIRTUAL SIGLO XXI,A,No Oficial,Privado,Persona Natural,KR 31 A # 25 A - 07,2681800 / 2446108 / 2219579,,secretaria@ave.edu.co,www.ave.edu.co,A / B,Mañana,"Básica Primaria, Básica Secundaria, Media",,,,,No Aplica,ANA MARIA LEONOR MEJIA ESCOBAR,508,0,Urbana,Mixto,"-74,0838407338306","4,626750117436564"
749,311001096210,LICEO PSICOPEDAGOGICO SAN BUENAVENTURA,A,No Oficial,Privado,Persona Natural,CL 71 BIS # 78 - 70,2238657,,liceosanbuenaventura@yahoo.com,,A,Mañana,Preescolar,,,,,No Aplica,MARTHA ISABEL RUIZ CAMPOS,53,0,Urbana,Mixto,"-74,10216836617477","4,691069536451633"
751,311001076642,COLEGIO BILINGUE NUEVA ALEJANDRIA,A,No Oficial,Privado,Persona Natural,CL 25 D # 80 C - 05,2634453 / 4297819 / 2362036,4297819,nuevaalejandria@hotmail.com,www.colegiobilinguenuevaalejandria.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,ANA MARLENNE MEDRANO ROJAS,299,0,Urbana,Mixto,"-74,11790376244292","4,670104362150479"
753,311001105391,COLEGIO TECNISISTEMAS,A,No Oficial,Privado,Sociedad,AC 145 # 94 C - 12,7432640 / 4877877,6835070,subacampina@institutotecnisistemas.com / gerencia@institutotecnisistemas.com,www.institutotecnisistemas.com,A,Mañana / Nocturna / Fin de semana,Básica Secundaria / Media,,,,,No Aplica,ERNESTO PARRA HERRERA,1188,No Aplica,Urbana,Mixto,"-74,08378087459162","4,737764885742187"
754,311769000866,FUNDACION NUEVO MARYMOUNT,A,No Oficial,Privado,Fundación,CL 169 B # 74 A - 02,6699077 / 6794545,6699077 EXT 111,info@marymountbogota.edu.co,www.marymountbogota.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,MARIA ANGELA TORRES SOTO,1030,0,Urbana,Femenino,"-74,06697177237004","4,75653266390651"
755,311769004284,INSTITUTO EDUCACION Y VIDA,A,No Oficial,Privado,Comunidad Religiosa,CL 153 # 94 - 50,6815248,6829303,maryhelen.m@hotmail.com / yolanda.goba@hotmail.com / cordinacioniev@outlook.es,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Motora,,,,A+,MIRYAM MUÑOZ ALVAREZ,550,No Aplica,Urbana,Mixto,"-74,08441494055346","4,751186026535614"
757,311001075794,COLEGIO LORISMA,A,No Oficial,Privado,Caja de Compensación,CL 137 A # 52 A - 24,5371765,8025246,collorisma_4264@hotmail.com,,A,Completa,Preescolar / Básica Primaria,,,,,No Aplica,CONSUELO ESPINOSA LUNA,65,0,Urbana,Femenino / Mixto,"-74,05125648219459","4,726882748894336"
761,311001050228,LICEO SAN MATEO,A,No Oficial,Privado,Persona Natural,CL 63 SUR # 28 - 20,7150716 / 7152389,,liceosanmateo2820@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,TERESA HENAO CASTAÑO,323,"2,37",Urbana,Mixto,"-74,14907200418814","4,569462377063061"
762,311001047502,GIMNASIO MIXTO MANUEL DEL SOCORRO RODRIGUEZ,A,No Oficial,Privado,Persona Natural,CL 157 A # 92 - 81,6852838 / 6833063 / 7029168,6852838,manuelsocorro@etb.net.co / rectoria@gimnasiomanueldelsocorrorodriguez.edu.co,www.gimnasiomanueldelsocorrorodriguez.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,VICTOR SALAS VARGAS,597,0,Urbana,Mixto,"-74,08163598874731","4,754466262116677"
764,311001102431,LICEO INFANTIL SAN JUAN GABRIEL PERBOYRE,A,No Oficial,Privado,Asociación,KR 87 I # 37 - 06 SUR,2658253 / 2935201,4504168,jgperoyre@yahoo.com,,A,Mañana,Preescolar,Otra,,Afrocolombiano,,No Aplica,EMMA CECILIA SABOGAL MORA,201,"4,68",Urbana,Mixto,"-74,16493666533073","4,638147095838946"
765,311001099332,LICEO PSICOPEDAGOGICO AMERICA LATINA,A,No Oficial,Privado,Persona Natural,CL 40 B SUR # 87 H - 23,5727155,,liceop-americalatina@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,ASTRID JOHANNA BARRERA RAMIREZ,27,0,Urbana,Mixto,"-74,16841385784427","4,635728253518701"
766,311001105910,JARDIN INFANTIL PICARDIAS,A,No Oficial,Privado,Persona Natural,KR 36 A # 53 - 85,2218502 / 5495996,,jardinpicardias@yahoo.com,,A,Mañana,Preescolar,,,,,No Aplica,CLAUDIA ACELAS F,31,0,Urbana,Mixto,"-74,08157638912147","4,644361999458826"
768,311001105090,COLEGIO PSICOPEDAGOGICO VALLE VERDE,A,No Oficial,Privado,Persona Natural,DG 16 B # 103 C - 02,4153202 / 3144599628,,valleverde1975@gmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,FREDY HERNAN CASTANEDA ROBAYO,45,"1,96",Urbana,Mixto,"-74,15113574611117","4,67178086738626"
769,311001002282,INSTITUTO FELIX RESTREPO,A,No Oficial,Privado,Persona Natural,TV 78 C # 6 B - 08,4117620,,institutofelixrestrepo@gmail.com / onis14567@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,YENIFFER SALAMANCA,107,"4,44",Urbana,Mixto,"-74,14750831036632","4,633015844575195"
771,311001104026,GIMNASIO INFANTIL CHIKITIKOS,A,No Oficial,Privado,Persona Natural,CL 161 A # 7 F - 55,6711047 / 4876575,,chikitikoos@hotmail.com / kpalencia18@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,JANETH ANGULO ATUESTA,32,No Aplica,Urbana,Mixto,"-74,02598784073786","4,73703265300037"
772,311001011532,COLEGIO NUESTRA SEÑORA DE LA PAZ,A,No Oficial,Privado,Comunidad Religiosa,CL 1 F # 18 C - 21,3336024,2467729,colegio_ntra_sra_delapaz@hotmail.com,www.colegionuestrasenoradelapaz.edu.co,A,Mañana,"Básica Primaria, Básica Secundaria, Media",,,,,A,HNA MARGARITA SOTO AMAYA,285,0,Urbana,Femenino,"-74,09151255476613","4,5942972248832135"
786,311001108315,COLEGIO MONTESSORIANO,A,No Oficial,Privado,Persona Natural,TV 12 H 43 - 35 SUR,7606125 / 5990703 / 6086007,Z-NO TIENE,montessoriano-school@hotmail.com / montessoriano-school@hotmail.com,Z-NO TIENE,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,HILDA FRECIA HILARION OCHOA,420,No Aplica,Urbana,Mixto,"-74,11761317990639","4,568888429077655"
789,311001051801,LICEO PEDAGOGICO CREAR Y APRENDER,A,No Oficial,Privado,Persona Natural,KR 24 H # 23 A - 11 SUR,3662943 / 2788799,,omairacgarcia@yahoo.es,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,No Aplica,0,No Aplica,Urbana,Mixto,"-74,10848109627254","4,586957055828715"
790,311001036217,LICEO MODERNO WALT WHITMAN,A,No Oficial,Privado,Persona Natural,CL 38 BIS SUR # 34 D - 29,2033600 / 2033700,2033600,liceo.moderno@outlook.es,www.liceomodernowaltwhitman.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Cognitiva / Autismo / Otra,,,,A,IRMA LILIA GACHA,619,0,Urbana,Mixto,"-74,12264849758529","4,593003654036779"
794,311001105707,COLEGIO CALATRAVA,A,No Oficial,Privado,Fundación,KR 80 # 156 - 95,6847860 / 4232923,6847860,admincolcaltrava@gmail.com / secretariaacademica@colegiocalatrava.edu.co,www.colegiocalatrava.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Motora / Cognitiva / Autismo,Capacidades Excepcionales,,,A+,CONSUELO VALDERRAMA MORALES,260,0,Urbana,Mixto,"-74,07609611432275","4,7511720761900325"
796,311848002823,GIMNASIO DEL NORTE,A,No Oficial,Privado,Fundación,CL 207 # 70 - 50,6762577 / 6683939 / 6761919,6761999,contreras@gimansiodelnorte.edu.co / jose.contreras@gimnasiodelnorte.edu.co,www.gimnasiodelnorte.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,JOSE CONTRERAS TOVAR,680,0,Urbana,Mixto,"-74,05759673218108","4,783145222853593"
714,311001045160,FUNDACION GIMNASIO LOS PORTALES,A,No Oficial,Privado,Fundación,CL 212 # 77 - 20,6764055,6762016 / 6764055,rectoria@losportales.edu.co / l.bocanegra@losportales.edu.co,www.losportales.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Cognitiva,,,,A+,BEATRIZ EUGENIA GOMEZ MAZUERA,568,0,Urbana,Femenino,"-74,05915999032","4,79293700633532"
717,311769000921,COLEGIO HELVETIA,A,No Oficial,Privado,Asociación,CL 128 # 71 A - 91,6247374,2714939,colegio@helvetia.edu.co,www.helvetia.edu.co,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,CEDRIC SCHUPPISSER,658,"0,17",Urbana,Mixto,"-74,07585722444094","4,714218144373221"
718,311001106282,JARDIN INFANTIL SAN GABRIEL ARCANGEL,A,No Oficial,Privado,Persona Natural,KR 54 # 106 - 13,6243871 / 5335800,6243871,sangab@hotmail.com,www.jardinsangabrielarcangel.edu.co,B,Mañana,Preescolar,,,,,No Aplica,JANNETTE MORENO SANDOVAL,35,0,Urbana,Mixto,"-74,06355375996908","4,694939190715744"
720,311001105499,JARDIN INFANTIL LA HORA DEL KINDER,A,No Oficial,Privado,Persona Natural,CL 106 # 56 - 79,2530782 / 6434507,6434507,lahoradelkinder@yahoo.com,,A,Mañana,Preescolar,,,Afrocolombiano,,No Aplica,MARTHA LUCIA RAMIREZ FANDIÑO,11,No Aplica,Urbana,Mixto,"-74,06528049891327","4,694047286717982"
721,311001109095,JARDIN INFANTIL SEMILLAS DE SECUOYAS CENTRO PARA EL DESARROLLO DEL POTENCIAL DEL NIÑO,A,No Oficial,Privado,Otra,KR 47 # 104 - 05,5337018 / 2575679,7596524 / 2575679,semillasdesecuoyas@gmail.com,www.semillasdesecuoyas.com,A,Mañana,Preescolar,Múltiple,,,,No Aplica,GLORIA GAITAN MONROY,6,20,Urbana,Mixto,"-74,05854677874748","4,691670564103577"
723,311001090203,GIMNASIO EL HONTANAR,A,No Oficial,Privado,Sociedad,KR 76 # 150 - 26,6807676 / 6807666 / 6815287,6815287 EXT 101,secretaria@gimnasiohontanar.edu.co / gimnasiohontanar@yahoo.es,www.gimnasiohontanar.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,No Aplica,OMAR CACERES GALVIS,186,"3,89",Urbana,Mixto,"-74,06914069982632","4,743843785379832"
724,311001050147,JARDIN INFANTIL LA SOMBRILLITA AZUL,A,No Oficial,Privado,Persona Natural,KR 52 A # 174 A - 34,6772938,,sombrillitaazul-1@hotmail.com / contacto@lasombrillitaazul.com,www.lasombrillitaazul.com,A,Mañana,Preescolar,,,,,No Aplica,SANDRA PATRICIA GONZALEZ MUÑOZ,39,0,Urbana,Mixto,"-74,05121542559286","4,756409357871659"
823,311001101825,INSTITUTO BILINGUE DEL SUR,A,No Oficial,Privado,Persona Natural,CL 54 A SUR # 27 - 39,2041225,,insbilinguedelsur@hotmail.com / miguelivanvelozas@hotmail.com,www.ibds.com.co,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,RUTH MIREYA PACHON ROZO,348,0,Urbana,Mixto,"-74,13941170038746","4,578233651987524"
825,311001107246,LICEO NUEVA BELGICA,A,No Oficial,Privado,Persona Natural,DG 86 A # 103 D - 61,4319379,,liceonuevabelgica@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,YOMAR ALEXANDRA NOVA PEÑA,28,0,Urbana,Mixto,"-74,11038039080303","4,7199429095977985"
826,311001032246,ESCUELA PEDAGOGICA EXPERIMENTAL,A,No Oficial,Privado,Corporación,KM 5 VIA A LA CALERA,6486823 / 6485371 / 2442136,3409675,epe@epe.edu.co / marleny.caro@epe.edu.co / corepe@yahoo.com,www.epe.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,MARIA DEYANIRA VALVERDE,387,0,Rural,Mixto,"-74,0186423382192","4,674825194803117"
828,311001046743,COLEGIO ANEXO SAN FRANCISCO DE ASIS,A,No Oficial,Privado,Persona Natural,CL 186 # 7 - 52,5261678 / 8071523,5280640,col_sanfrancisco@hotmail.com / gloria__c@hotmail.com,,B,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,GLORIA GOMEZ MARIN,328,"1,78",Urbana,Mixto,"-74,04143562789305","4,732654456876238"
833,311848000618,COLEGIO SANTO TOMAS DE AQUINO,A,No Oficial,Privado,Comunidad Religiosa,KR 21 # 132 - 46,2581241 / 2581242 / 2580010,2581242,colegio@santotomas.edu.co / luciaburitica@santotomas.edu.co / rectoria@santotomas.edu.co,www.santotomas.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,FR ISMAEL LEONARDO BALLESTEROS GUERRERO OP,947,"3,82",Urbana,Mixto,"-74,0493487417038","4,717234423963775"
834,311848000782,GIMNASIO LOS PINOS,A,No Oficial,Privado,Corporación,CL 193 # 9 - 20,6700008,6700008 EXT 119 / 6790747,jcrestrepoc@gimnasiolospinos.edu.co / sjfuquenv@gimnasiolospinos.edu.co,www.gimnasiolospinos.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,JUAN CARLOS BAYONA VARGAS,1152,0,Urbana,Mixto,"-74,03321190270822","4,770609594730101"
835,311001104786,COLEGIO BRITANICO SEDE TUNJUELITO,A,No Oficial,Privado,Sociedad,AUTO SUR # 50 - 29,7111901,,rectoria@colegiobritanico.edu.co,www.institutobritanico.edu.co,A,Mañana / Nocturna / Fin de semana,Básica Secundaria / Media,,,,,No Aplica,ROSA LILIANA NOVOA HERNANDEZ,483,No Aplica,Urbana,Mixto,"-74,13690601878568","4,594391695308772"
836,311001108510,JARDIN INFANTIL CONSTRUYENDO CON GEPETTO,A,No Oficial,Privado,Persona Natural,CL 55 A SUR # 34 - 24,2044687 / 2047401,,construgepetto@yahoo.es,www.jardingepetto.com,A,Mañana,Preescolar,Motora,,,,No Aplica,NELLY CASTRO CASTELBLANCO,201,0,Urbana,Mixto,"-74,1421772268717","4,583488103276438"
837,311001108706,CENTRO EDUCATIVO SURAMERICANO,A,No Oficial,Privado,Persona Natural,AV BOYACA # 49 - 40 SUR,5638858 / 3002183913 / 3132410103 / 5633911,7284016,centroedusuramericano@yahoo.es / nancymaradeys@outlook.com,,A,Mañana / Nocturna / Fin de semana,Básica Secundaria / Media,,,,,No Aplica,GABRIEL MORENO LEON,156,No Aplica,Urbana,Mixto,"-74,14039552720178","4,595091860253016"
840,311001095191,COLEGIO SAN SIMON,A,No Oficial,Privado,Sociedad,CL 169 A # 56 - 50,6782157 / 6714576,6714576,colegiosansimon@outlook.com,www.colegiosansimon.org,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,LUISA FERNANDA ORDOÑEZ VARGAS,251,0,Urbana,Mixto,"-74,05758991666303","4,752883255897826"
844,311001102538,COLEGIO NUESTRA SEÑORA DEL ROSARIO DE SAN CIPRIANO,A,No Oficial,Privado,Fundación,CL 166 BIS # 54 - 64,6712993,6715208,col.rosario@hotmail.com / rectoriacolrosario@gmail.com / col.rosario@yahoo.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,DIANA VASQUEZ RAYO,185,0,Urbana,Mixto,"-74,05432092488624","4,748782537087688"
