OBJECTID,Código del establecimiento,Nombre del establecimiento,Código de la sede,Nombre de la sede,Orden de la sede,Sector,Tipo de administración,Naturaleza jurídica,Dirección,Número telefónico,Número de fax,Correo electrónico,Página WEB,Calendario,Jornada,Nivel de atención,Modelo educativo,Proyecto pedagógico,Tipo de discapacidad atendida,Tipo de talento especial,Grupo étnico atendido,Situación de conflicto atendida,Beneficiarios refrigerio escolar,Beneficiarios comida caliente,Beneficiarios ruta escolar,Beneficiarios subsidio transporte,Usuarios programa “Al colegio en BICI”,Categoría por resultado pruebas SABER 11,Tasa de deserción escolar (%),Zona,Género,coord_x,coord_y
128,211850000981,COLEGIO EL UVAL (IED),211850000981,EL UVAL,A,Oficial,Distrital,Oficial,KM 8 AUTO AL LLANO VDA EL UVAL,3202345 / 7614733 / 3202345673 / 3152560060,,cedeluval5@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Otro,,,,Indígena / Afrocolombiano,Desplazado,815,0,750,0,0,C,"5,06",Rural (Suelo de Expansión Urbana),Mixto,"-74,10459538859533","4,478250232938293"
202,111001106950,COLEGIO ALFONSO LOPEZ MICHELSEN (IED),111001106950,ALFONSO LOPEZ MICHELSEN,A,Oficial,Distrital,Oficial,KR 98 B # 74 - 68 SUR,3564974 / 3564975 / 3564976 / 3564977 / 3564978,3564974 EXT 103,colalfonzolopezmiche@redp.edu.co,www.colegioalm.com,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40x40,,,Afrocolombiano,Desplazado,0,1922,0,80,0,B,0,Rural (Suelo de Expansión Urbana),Mixto,"-74,20637994599184","4,631148574494553"
203,111001104299,COLEGIO ALFONSO REYES ECHANDIA (IED),111001104299,ALFONSO REYES ECHANDIA,A,Oficial,Distrital,Oficial,KR 86 # 74 - 00 SUR,7804469,7794858,iedalfonsoreyesechan@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Auditiva / Visual / Motora / Cognitiva / Otra,,Indígena / Afrocolombiano / Raizal,Desplazado,0,2828,375,331,51,B,0,Urbana,Mixto,"-74,20041073794692","4,615714492085783"
204,211102000995,COLEGIO BOSANOVA (IED),211102000995,BOSANOVA,A,Oficial,Distrital,Oficial,CL 59 B SUR # 87 B - 02,7839623 / 7846415 / 7839625,,cedbosanova7@redp.edu.co / dbosanova7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,,,,Desplazado,2559,0,125,297,0,B,"1,94",Urbana,Mixto,"-74,18836676531963","4,622721991894513"
205,211102000995,COLEGIO BOSANOVA (IED),111001110647,SEDE B,B,Oficial,Distrital,Oficial,CL 63 SUR # 80H - 35,7839623,,cedbosanova7@redp.edu.co / dbosanova7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,18517445373547","4,6093956135963605"
206,111001014109,COLEGIO BRASILIA - BOSA (IED),111001014109,BRASILIA - BOSA,A,Oficial,Distrital,Oficial,CL 52 A SUR # 87 D - 45,7832058 / 7832725 / 7301450 / 7301457,7301450 EXT 102,cedbrasilia7@redp.edu.co - cedbrasiliabosa@gmail.edu.co,,A,Mañana / Tarde,Básica Primaria / Media,Educación Tradicional,40X40,,,,,3729,0,0,139,40,B,"3,75",Urbana,Mixto,"-74,18156799724579","4,6279502586362415"
207,111001014109,COLEGIO BRASILIA - BOSA (IED),211102000219,LUIS HERNANDO PEREA,B,Oficial,Distrital,Oficial,KR 87 J # 55 - 06 SUR,7851627,7830816 EXT 101,cedbrasilia7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,18552673256572","4,626772567498735"
208,111001014109,COLEGIO BRASILIA - BOSA (IED),111001094480,BRASILIA - BOSA,C,Oficial,Distrital,Oficial,CL 52 A SUR # 87 D - 40,7830816 / 7764693,7830816 EXT 102,cedbrasilia7@redp.edu.co / cedbrasiliabosa7@redp.edu.co,,A,Mañana / Tarde,Básica Primaria / Básica Secundaria / Media,Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,18116279327226","4,628141463014534"
209,111001002909,COLEGIO CARLOS ALBAN HOLGUIN (IED),111001002909,CARLOS ALBAN HOLGUIN,A,Oficial,Distrital,Oficial,CL 72 SUR # 79 D - 33,7752059 / 7775671,7752059,cedcarlosalbanhol7@redp.edu.co,www.cah.edu.co,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,Visual / Cognitiva,,Indígena / Afrocolombiano,Desplazado,5441,0,132,245,32,B,"0,19",Urbana,Mixto,"-74,19723857647293","4,605956324304718"
210,111001002909,COLEGIO CARLOS ALBAN HOLGUIN (IED),111102000788,JOSE MARIA CARBONELL,B,Oficial,Distrital,Oficial,DG 71 C BIS A SUR # 77 G - 15,7774692,,cedcarlosalbanhol7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,Afrocolombiano,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19770224190682","4,599655765379285"
211,111001002909,COLEGIO CARLOS ALBAN HOLGUIN (IED),211102000642,SAN JOSE,C,Oficial,Distrital,Oficial,KR 80 K # 85 A - 33 SUR,7774692  / 7764693,,cedcarlosalbanhol7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,20971590447812","4,613951386232825"
212,111001104329,COLEGIO CARLOS PIZARRO LEON GOMEZ (IED),111001104329,CARLOS PIZARRO LEON GOMEZ,A,Oficial,Distrital,Oficial,CL 72 SUR # 100 A - 71,7234591 / 7234592 / 7234593 / 7234594 / 7234595,7234594 EXT 120,iedcarlospizarroleon@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,40X40,Cognitiva / Otra,,,Desplazado,1600,1866,0,181,44,B,"0,74",Urbana,Mixto,"-74,20522303538183","4,635479217008107"
213,111001010031,COLEGIO CEDID SAN PABLO (IED),111001010031,SAN PABLO BOSA,A,Oficial,Distrital,Oficial,KR 77 L # 65 J - 73 SUR,7757545 / 7765276 / 7750283,7765276,cedidsanpablobosa7@redp.edu.co / cedidsanpablobosa7@gmail.com,,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,Motora / Cognitiva / Autismo,,Afrocolombiano / Indígena,,4546,0,0,165,41,No Aplica,0,Urbana,Mixto,"-74,18745774032068","4,599785510243855"
214,111001010031,COLEGIO CEDID SAN PABLO (IED),111102000699,LA AMISTAD,B,Oficial,Distrital,Oficial,KR 79 A # 65 - 75 SUR,7752036,7765276,cedidsanpablobosa7@redp.edu.co,,A,Mañana / Tarde,Básica Primaria,Educación Tradicional,40X40,Motora,,Afrocolombiano,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,18714832819748","4,600232169863983"
215,111001010031,COLEGIO CEDID SAN PABLO (IED),111102000567,NUEVA GRANADA,C,Oficial,Distrital,Oficial,CL 70 BIS SUR # 77 L - 05,7751099,7765276,cedidsanpablobosa7@redp.edu.co,,A,Mañana / Tarde,Preescolar,Preescolar Escolarizado,40X40,,,Afrocolombiano,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19218640639926","4,60098132916464"
216,111001107875,COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED),111001107875,CIUDADELA EDUCATIVA DE BOSA,A,Oficial,Distrital,Oficial,CL 52 SUR # 97 C - 35,4288697 / 4288698 / 4288699,4288698,colciudadelabosa@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Auditiva / Motora / Cognitiva / Múltiple,Capacidades Excepcionales,Indígena / Afrocolombiano,Desplazado,0,4350,270,140,46,B,"4,78",Urbana,Mixto,"-74,18777980521466","4,640634401537327"
217,111001107883,COLEGIO DEBORA ARANGO PEREZ (IED),111001107883,DEBORA ARANGO PEREZ,A,Oficial,Distrital,Oficial,KR 84 A # 57 B - 04 SUR,7330402 / 7330403 / 7330404 / 7330405 / 7330406,7330404 EXT 102,coldeboraarangoperez@redp.edu.co / coldeborarango@gmail.com,www.colegiodeboraarangoperezied.edu.co,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,,,Afrocolombiano,Desplazado / Hijo Desmovilizado,0,2430,166,138,0,B,"0,64",Urbana,Mixto,"-74,1834083245644","4,617917959044811"
218,211102000243,COLEGIO EL PORVENIR (IED),211102000243,EL PORVENIR,A,Oficial,Distrital,Oficial,CL 51 SUR # 91 D - 56,7845335 / 7845372 / 7845235 / 7837165,7845372 EXT 14,cedelporvenir7@redp.edu.co,www.colegioelporveniried.com,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,,,Afrocolombiano,Desplazado,1940,2096,0,90,92,B,0,Urbana,Mixto,"-74,18301990471363","4,636141677427192"
220,111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000753,FERNANDO MAZUERA VILLEGAS,A,Oficial,Distrital,Oficial,CL 68 A SUR # 80 H - 05,7755195 / 7755196 / 7753195 / 7801812 / 7802529 /,7801812,coldifernadomazue7@redp.edu.co,,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,Motora / Cognitiva,,,Desplazado,2037,1580,28,309,0,B,"4,59",Urbana,Mixto,"-74,19133895821813","4,606305192816265"
221,111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000559,GONZALO JIMENEZ DE QUESADA,B,Oficial,Distrital,Oficial,DG 66 SUR # 80 C - 20,7752163 / 7192567,7801812,coldifernadomazue7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva / Autismo / Múltiple,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,18842373108505","4,606334567759725"
222,111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111102000583,HUMBERTO VALENCIA,C,Oficial,Distrital,Oficial,KR 81 B # 71 F - 15 SUR,7775849 / 7775854,7801812,coldifernadomazue7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19565684627683","4,610856472410887"
223,111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111001094862,NUEVA ISLANDIA,D,Oficial,Distrital,Oficial,DG 72 C SUR # 83 A - 21,7790545 / 7790353,7801812,coldifernadomazue7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Visual / Cognitiva / Múltiple / Otra,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,1964324013875","4,614894629390529"
224,111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),111001110329,SEDE E,E,Oficial,Distrital,Oficial,TV 80 B # 65 F - 80 SUR,7755195,7801812,coldifernadomazue7@redp.edu.co,,A,Mañana / Tarde,Preescolar,Preescolar Escolarizado,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,18717795553387","4,6064124696454725"
225,111102000621,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),111102000621,FRANCISCO DE PAULA SANTANDER,A,Oficial,Distrital,Oficial,CL 61 SUR # 80 I - 40,7750473 / 7807236,,escdifranciscodepa7@redp.edu.co / escdifranciscodepa7@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,Auditiva / Visual / Motora / Múltiple,,Afrocolombiano,Desplazado / Hijo Desmovilizado,1440,0,0,78,0,B,"4,42",Urbana,Mixto,"-74,18456816637718","4,6108096040665805"
226,111001107832,COLEGIO GERMAN ARCINIEGAS (IED),111001107832,GERMAN ARCINIEGAS,A,Oficial,Distrital,Oficial,KR 88 I # 54 B - 44 SUR,7279143,7279143,colgermanarciniegas@redp.edu.co,www.colegiogermanarciniegasied.edu.co,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,Auditiva / Visual / Motora / Cognitiva / Autismo / Múltiple,,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,1508,1834,59,119,0,B,0,Urbana,Mixto,"-74,18545898432194","4,630033656878695"
236,111001086606,COLEGIO LLANO ORIENTAL (IED),111001086606,LLANO ORIENTAL,A,Oficial,Distrital,Oficial,CL 73 B SUR # 78 A BIS - 15,7808458 / 7809113 / 7808114 / 7196644,7808114 EXT 102,cedllanooriental7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Otra,,,Desplazado,1036,0,0,13,45,B,0,Urbana,Mixto,"-74,2000272273892","4,603448746423612"
237,111102000265,COLEGIO LUIS LOPEZ DE MESA (IED),111102000265,LUIS LOPEZ DE MESA,A,Oficial,Distrital,Oficial,CL 65 H SUR # 78 A - 03,7750440 / 7794793 / 7786365,7786365,cedluislopezdemes7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Otro,40X40,,,,,947,2058,0,115,60,B,"5,52",Urbana,Mixto,"-74,18614769570081","4,600582686965563"
238,111001041599,COLEGIO MOTORISTA (CED),111001041599,MOTORISTA,A,Oficial,Distrital,Oficial,CL 57 N BIS SUR # 75 F - 27,7807604 / 7795879,7795879,cedmotorista7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Motora,,,Desplazado / Hijo Desmovilizado,428,0,0,14,0,No Aplica,"15,3",Urbana,Mixto,"-74,17563523834352","4,597763142230203"
239,111001013676,COLEGIO NUEVO CHILE (IED),111001013676,NUEVO CHILE,A,Oficial,Distrital,Oficial,CL 56 SUR # 72 G - 20,7806307 / 7824775 / 7878247,7824775,cednvochile7@redp.edu.co,,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,Motora / Cognitiva,,Indígena / Afrocolombiano,Desplazado / Desvinculado / Hijo Desmovilizado,3639,0,0,134,0,No Aplica,"7,03",Urbana,Mixto,"-74,166309764497","4,603512038101703"
240,111001013676,COLEGIO NUEVO CHILE (IED),111102000923,RODRIGO DE BASTIDAS,B,Oficial,Distrital,Oficial,CL 56 A SUR # 72 A - 54,7775240,7824775,cednvochile7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva,,Indígena / Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,16476026944657","4,60174458695273"
241,111001104302,COLEGIO ORLANDO HIGUITA ROJAS (IED),111001104302,ORLANDO HIGUITA ROJAS,A,Oficial,Distrital,Oficial,CL 57 SUR # 87 H - 03,7859237 / 7859189 / 7859206 / 7859265,7859237,colorlandohiguitaroj@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,Motora / Cognitiva,,Indígena / Afrocolombiano,Desplazado,868,1394,0,136,32,B,0,Urbana,Mixto,"-74,18783466263412","4,624975387314727"
242,111001104302,COLEGIO ORLANDO HIGUITA ROJAS (IED),211102000251,JUAN MAXIMILIANO AMBROSIO,B,Oficial,Distrital,Oficial,CL 57 SUR # 86 F - 30,7837318,7837318,colorlandohiguitaroj@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva / Autismo,,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,1845725932749","4,62291999013425"
243,111102000281,COLEGIO PABLO DE TARSO (IED),111102000281,PABLO DE TARSO,A,Oficial,Distrital,Oficial,CL 66 SUR # 78 J - 02,7803081 / 7803083 / 7751576,7751576 EXT 102,cedpablodetarso7@redp.edu.co,www.colegiopablodetarso.jimdo.com,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje / Educación para Jóvenes en Extraedad y Adultos,40X40,Auditiva,,,Desplazado / Desvinculado,3214,0,0,182,36,B,"2,43",Urbana,Mixto,"-74,1869752920125","4,603695751737514"
244,111102000281,COLEGIO PABLO DE TARSO (IED),111102000907,PAULO VI,B,Oficial,Distrital,Oficial,CL 71 BIS SUR # 77 I - 21,7803394,,cedpablodetarso7@redp.edu.co,www.colegiopablodetarso.jimdo.com,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19445804632682","4,599527629564921"
245,111102000958,COLEGIO PORFIRIO BARBA JACOB (IED),111102000958,PORFIRIO BARBA JACOB,A,Oficial,Distrital,Oficial,CL 70 A SUR # 81 G - 13,7792214 / 7782103,7782103,cedporfiriobarbaj7@redp.edu.co / cedporfiriobarbaj7@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,Visual / Cognitiva / Múltiple / Otra,,,,104,1595,0,74,36,B,"2,61",Urbana,Mixto,"-74,193717123067","4,61209175924833"
246,211102000201,COLEGIO SAN BERNARDINO (IED),211102000201,SAN BERNARDINO,A,Oficial,Distrital,Oficial,KR 87 B # 79 C - 51 SUR,7842029 / 7842035 / 7837204,7837204 / 7842029 EXT 101 / 7842035 EXT 1,cedsanbernardino7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,,,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,2011,0,0,82,0,C,0,20% Suelo Urbano 80% Suelo de Expansión Urbana,Mixto,"-74,20435758047081","4,617987613034935"
247,211001076958,COLEGIO VILLAS DEL PROGRESO (IED),211001076958,VILLAS DEL PROGRESO,A,Oficial,Distrital,Oficial,KR 89 A BIS # 72 A - 13 SUR,7835608 / 7835563 / 7759081,7835563,escdivillasdelprog7@redp.edu.co / villasdelprogreso7@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,,,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,6131,0,182,292,94,B,"1,50",Urbana,Mixto,"-74,20080756872369","4,625237109825404"
248,211001076958,COLEGIO VILLAS DEL PROGRESO (IED),111001110060,SEDE B,D,Oficial,Distrital,Oficial,KR 82 D # 71 A - 58 SUR,7835608,7835563,escdivillasdelprog7@redp.edu.co / villasdelprogreso7@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19570485763552","4,613409311050398"
249,211001076958,COLEGIO VILLAS DEL PROGRESO (IED),111001110078,SEDE C,E,Oficial,Distrital,Oficial,KR 102 # 56 F - 34 SUR,7835608,7835563,escdivillasdelprog7@redp.edu.co / villasdelprogreso7@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19507621839632","4,640898252813795"
250,111001086649,COLEGIO ALFONSO LOPEZ PUMAREJO (IED),111001086649,ALFONSO LOPEZ PUMAREJO,A,Oficial,Distrital,Oficial,KR 72 G # 39 - 57 SUR,7133578 / 7133579 / 7107101 / 7107068 / 5635748,7107101,iedalfonsolopezp8@hotmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,Afrocolombiano,Desplazado,2578,0,23,46,0,A,"19,6",Urbana,Mixto,"-74,14402000838764","4,60784150180584"
251,111001086649,COLEGIO ALFONSO LOPEZ PUMAREJO (IED),111001014681,AGOBERTO MEJIA CIFUENTES,B,Oficial,Distrital,Oficial,KR 68 I # 39 C - 14 SUR,2384860 / 7135604,7107101,iedalfonsolopezp8@hotmmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Motora,,Afrocolombiano,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,14101607531522","4,603259093419113"
252,111001016098,COLEGIO ALQUERIA DE LA FRAGUA (IED),111001016098,ALQUERIA DE LA FRAGUA,A,Oficial,Distrital,Oficial,CL 37 B SUR # 68 D - 93,2047573 / 2709229,2047573,cedalquerialafrag8@redp.edu.co / colafragua@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,Afrocolombiano,,836,0,0,8,0,A,"1,10",Urbana,Mixto,"-74,13627554788161","4,604779484020381"
253,111001000124,COLEGIO CARLOS ARANGO VELEZ (IED),111001000124,CARLOS ARANGO VELEZ,A,Oficial,Distrital,Oficial,KR 70 B # 24 B - 35 SUR,4140218 / 4140223,4140218,coldicarlosarangov8@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Otro,,,,,,2108,0,35,231,0,B,"1,31",Urbana,Mixto,"-74,13615250384052","4,616404090007423"
227,111001046477,COLEGIO GRANCOLOMBIANO (IED),111001046477,GRANCOLOMBIANO,A,Oficial,Distrital,Oficial,CL 73 F SUR # 80 N BIS - 49,7192393 / 7196611,7192393,coldigrancolombian7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Otro,40X40,,,,Desplazado,3778,0,0,196,0,No Aplica,"5,07",Urbana,Mixto,"-74,19998611958349","4,610302762611533"
228,111001046477,COLEGIO GRANCOLOMBIANO (IED),111102000591,LOS LAURELES,B,Oficial,Distrital,Oficial,KR 80 K # 73 F - 29 SUR,7778547,,coldigrancolombian7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,20030854829515","4,609285434298066"
229,111001046477,COLEGIO GRANCOLOMBIANO (IED),111102000893,LOS NARANJOS,D,Oficial,Distrital,Oficial,CL 72 A SUR # 80 J - 20,7771120,,coldigrancolombian7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19661408565369","4,60818541687197"
230,111001046591,COLEGIO JOSE ANTONIO GALAN (IED),111001046591,JOSE ANTONIO GALAN,A,Oficial,Distrital,Oficial,KR 78 J # 58 M - 22 SUR,7752586,7752586 EXT 107,iedjoseantoniogalan7@gmail.com / escdijoseantonioga7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,Indígena / Afrocolombiano,Desplazado / Desvinculado,1988,0,0,89,0,B,0,Urbana,Mixto,"-74,17861440755851","4,60618167674415"
231,111001106968,COLEGIO JOSE FRANCISCO SOCARRAS (IED),111001106968,JOSE FRANCISCO SOCARRAS,A,Oficial,Distrital,Oficial,KR 88 C # 66 A - 03 SUR,7238531 / 7238469 / 7238530,7238530,josefrancisco.socarras@gmail.com / coldisjosefrancsoc@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,,,,Desplazado,0,2546,0,102,35,No Aplica,0,Urbana,Mixto,"-74,1947738751161","4,626188771635165"
232,111001107867,COLEGIO KIMI PERNIA DOMICO (IED),111001107867,KIMI PERNIA DOMICO,A,Oficial,Distrital,Oficial,CL 82 SUR # 89 - 21,7834346 / 7834326 / 7834256 / 7834249,7834346 EXT 104,kimyperniaied@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,40x40,Auditiva / Visual / Motora / Cognitiva,,Indígena / Afrocolombiano,Desplazado / Desvinculado / Hijo Desmovilizado,0,2568,519,122,0,C,"12,1",Rural (Suelo de Expansión Urbana),Mixto,"-74,2078521302323","4,622426521076916"
233,111001086754,COLEGIO LA CONCEPCION (IED),111001086754,LA CONCEPCION,A,Oficial,Distrital,Oficial,KR 87 K # 69 - 40 SUR,7855718,,cedlaconcepcion7@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria,Preescolar Escolarizado / Educación Tradicional,40X40,Visual / Motora / Cognitiva,,Indígena,Desplazado,1502,0,0,63,0,No Aplica,0,Urbana,Mixto,"-74,19505137189387","4,6226310808404705"
234,111001086754,COLEGIO LA CONCEPCION (IED),111001104132,NUESTRA SEÑORA DE LOURDES,B,Oficial,Distrital,Oficial,KR 87 K # 69 A - 26 SUR,7848875 / 7855718,,cedlaconcepcion7@redp.edu.co,,A,Mañana / Tarde,Básica Primaria,Educación Tradicional,40X40,Auditiva / Motora / Cognitiva,,Indígena / Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,19565972088574","4,6225414582457125"
